x,y,heading,kappa,v,d_left,d_right
24.19979,-24.27698,-0.15224,0.07936,7.98346,0.47500,1.72500
25.01850,-24.37426,-0.07776,0.09464,7.94626,0.47500,1.72500
25.84210,-24.40494,0.00358,0.09530,7.87378,0.50000,1.72500
26.66238,-24.36838,0.08607,0.09661,7.77962,0.50000,1.72500
27.47235,-24.26428,0.17044,0.09860,7.67254,0.50000,1.70000
28.26513,-24.09254,0.25743,0.10134,7.56233,0.50000,1.70000
29.03395,-23.85315,0.34784,0.10492,7.56233,0.47500,1.67500
29.77380,-23.54551,0.43712,0.09774,7.56233,0.47500,1.70000
30.48504,-23.17511,0.52033,0.09133,7.71492,0.47500,1.67500
31.16723,-22.74708,0.59783,0.08553,7.88970,0.50000,1.70000
31.81836,-22.26718,0.67014,0.08020,8.00000,0.52500,1.70000
32.43696,-21.74085,0.73767,0.07523,8.00000,0.52500,1.70000
33.02222,-21.17308,0.80075,0.07054,8.00000,0.52500,1.67500
33.57409,-20.56825,0.85962,0.06605,8.00000,0.57500,1.65000
34.09389,-19.92922,0.91436,0.06173,8.00000,0.62500,1.55000
34.58433,-19.25694,0.96492,0.05750,8.00000,0.72500,1.50000
35.04728,-18.55309,1.01134,0.05333,8.00000,0.77500,1.40000
35.48341,-17.82115,1.05379,0.04918,8.00000,0.90000,1.30000
35.89314,-17.06543,1.09248,0.04507,8.00000,1.02500,1.20000
36.27699,-16.29055,1.12760,0.04101,8.00000,1.20000,1.05000
36.63573,-15.50108,1.15935,0.03703,8.00000,1.30000,0.90000
36.97069,-14.70077,1.18790,0.03316,8.00000,1.37500,0.80000
37.28381,-13.89204,1.21335,0.02939,8.00000,1.42500,0.72500
37.57724,-13.07677,1.23580,0.02575,8.00000,1.47500,0.72500
37.85315,-12.25655,1.25536,0.02222,8.00000,1.52500,0.65000
38.11374,-11.43276,1.27211,0.01880,8.00000,1.60000,0.62500
38.36123,-10.60641,1.28612,0.01547,8.00000,1.62500,0.57500
38.59796,-9.77799,1.29745,0.01221,8.00000,1.67500,0.50000
38.82625,-8.94780,1.30614,0.00899,8.00000,1.70000,0.50000
39.04830,-8.11631,1.31220,0.00578,8.00000,1.72500,0.47500
39.26634,-7.28406,1.31605,0.00359,8.00000,1.67500,0.52500
39.48187,-6.45136,1.31808,0.00136,8.00000,1.70000,0.50000
39.69643,-5.61856,1.31826,-0.00091,8.00000,1.67500,0.47500
39.91159,-4.78603,1.31756,-0.00080,8.00000,1.67500,0.52500
40.12728,-3.95372,1.31694,-0.00071,8.00000,1.70000,0.50000
40.34344,-3.12158,1.31638,-0.00065,8.00000,1.67500,0.50000
40.56004,-2.28958,1.31587,-0.00059,8.00000,1.67500,0.52500
40.77703,-1.45772,1.31540,-0.00054,8.00000,1.70000,0.50000
