x,y,heading,kappa,v,d_left,d_right
4.86588,44.35776,0.22588,-0.26251,4.53039,1.65818,0.51209
5.53048,44.41566,-0.06800,-0.29233,4.53039,1.70695,0.51209
6.26506,44.26248,-0.31601,-0.23488,4.53039,1.51187,0.95102
7.06351,43.91441,-0.48737,-0.18855,4.96719,1.04856,1.29241
7.82277,43.43687,-0.61920,-0.14707,5.40414,0.78032,1.46310
8.51008,42.88343,-0.72104,-0.10806,5.84243,0.60962,1.63380
9.13796,42.28094,-0.79313,-0.07007,6.29480,0.51209,1.65818
9.72301,41.65162,-0.83513,-0.03243,6.76154,0.48770,1.70695
10.28448,41.01431,-0.84645,0.00513,7.23205,0.48770,1.68257
10.84254,40.38632,-0.82639,0.04274,7.68224,0.46332,1.73134
11.41670,39.78526,-0.78253,0.06079,7.60333,0.46332,1.70695
12.01449,39.22106,-0.72262,0.07908,7.28799,0.48770,1.70695
12.64151,38.70533,-0.64590,0.09777,7.01701,0.46332,1.70695
13.30128,38.25113,-0.55306,0.11339,6.78899,0.48770,1.70695
13.99478,37.86993,-0.44465,0.13018,6.78899,0.48770,1.68257
14.72663,37.57199,-0.33155,0.12353,6.78899,0.53647,1.65818
15.49559,37.35327,-0.22497,0.11837,6.93604,0.53647,1.63380
16.29433,37.21323,-0.12383,0.11449,7.08180,0.56085,1.60941
17.11206,37.15206,-0.02666,0.11176,7.21488,0.58524,1.63380
17.93834,37.16939,0.06787,0.11006,7.32621,0.56085,1.65818
18.76201,37.26421,0.16108,0.10937,7.40501,0.51209,1.68257
19.56267,37.43332,0.25534,0.10966,7.35410,0.51209,1.68257
20.31416,37.66939,0.35398,0.11094,7.35410,0.48770,1.73134
21.00616,37.96675,0.45325,0.10134,7.35410,0.48770,1.70695
21.67173,38.33061,0.54334,0.09270,7.52010,0.56085,1.65818
22.34318,38.77427,0.62097,0.08472,7.72550,0.68278,1.51187
23.01323,39.29028,0.68834,0.07708,7.95777,0.87786,1.36556
23.66442,39.86105,0.74802,0.06971,8.00000,1.07294,1.19487
24.28631,40.47159,0.80148,0.06260,8.00000,1.19487,1.02417
24.87730,41.11358,0.84921,0.05571,8.00000,1.36556,0.82909
25.43864,41.78125,0.89147,0.04899,8.00000,1.46310,0.70717
25.97207,42.46925,0.92844,0.04241,8.00000,1.60941,0.63401
26.47978,43.17273,0.96023,0.03594,8.00000,1.63380,0.53647
26.96445,43.88744,0.98692,0.02951,8.00000,1.68257,0.51209
27.42970,44.61043,1.00846,0.02309,8.00000,1.73134,0.48770
27.88006,45.34029,1.02477,0.01664,8.00000,1.73134,0.46332
28.32001,46.07560,1.03746,0.01424,8.00000,1.73134,0.46332
28.75139,46.81611,1.05614,0.03123,8.00000,1.68257,0.48770
29.16428,47.56860,1.08873,0.04822,7.67888,1.68257,0.53647
29.54850,48.33953,1.13513,0.06529,7.30441,1.58503,0.58524
29.89391,49.13602,1.19510,0.08258,6.93928,1.51187,0.73155
30.19020,49.96645,1.26814,0.10029,6.57910,1.36556,0.90224
30.41989,50.82053,1.35537,0.11875,6.22440,1.12171,1.14610
30.56256,51.66807,1.46074,0.13836,5.88201,0.90224,1.38994
30.60384,52.48511,1.58921,0.15997,5.55736,0.63401,1.58503
30.53345,53.24820,1.74796,0.18521,5.26380,0.48770,1.68257
30.34805,53.91379,1.95304,0.21655,5.26380,0.46332,1.70695
30.02705,54.50787,2.16365,0.18666,5.26380,0.68278,1.60941
29.53732,55.11718,2.32220,0.16502,5.55680,0.95102,1.34118
28.90093,55.71329,2.44786,0.14600,5.87889,1.21925,1.09733
28.18100,56.24515,2.55606,0.12895,6.19962,1.48748,0.78032
27.41754,56.69693,2.65234,0.11355,6.51422,1.63380,0.60962
26.62780,57.07212,2.73804,0.09921,6.82661,1.70695,0.48770
