R_m,gamma_goal_deg,feasible
0.5417085427135678,164.47423881883083,True
0.5464824120603015,164.61323954619508,True
0.5512562814070352,164.74974243588738,True
0.5560301507537688,164.8838150566622,True
0.5608040201005025,165.0155225317939,True
0.5655778894472362,165.14492765007253,True
0.5703517587939698,165.27209097073558,True
0.5751256281407036,165.39707092272448,True
0.5798994974874372,165.5199238986235,True
0.5846733668341708,165.64070434361554,True
0.5894472361809046,165.75946483976273,True
0.5942211055276382,165.87625618589988,True
0.5989949748743718,165.99112747340746,True
0.6037688442211055,166.10412615811256,True
0.6085427135678392,166.21529812854908,True
0.6133165829145728,166.32468777079276,True
0.6180904522613065,166.43233803007152,True
0.6228643216080402,166.53829046933913,True
0.6276381909547738,166.64258532498647,True
0.6324120603015075,166.7452615598542,True
0.6371859296482412,166.8463569136994,True
0.6419597989949749,166.945907951259,True
0.6467336683417085,167.0439501080439,True
0.6515075376884422,167.14051773398845,True
0.6562814070351759,167.2356441350732,True
0.6610552763819095,167.32936161303004,True
0.6658291457286432,167.42170150323412,True
0.6706030150753769,167.51269421087747,True
0.6753768844221105,167.60236924551722,True
0.6801507537688442,167.69075525408212,True
0.6849246231155779,167.77788005241865,True
0.6896984924623115,167.86377065545162,True
0.6944723618090453,167.94845330603073,True
0.6992462311557789,168.03195350252946,True
0.7040201005025125,168.1142960252595,True
0.7087939698492463,168.19550496176024,True
0.7135678391959799,168.27560373101866,True
0.7183417085427135,168.35461510667335,True
0.7231155778894472,168.4325612392511,True
0.7278894472361809,168.50946367748435,True
0.7326633165829145,168.5853433887532,True
0.7374371859296482,168.66022077869394,True
0.7422110552763819,168.73411571001395,True
0.7469849246231155,168.8070475205502,True
0.7517587939698492,168.87903504060728,True
0.7565326633165829,168.9500966096077,True
0.7613065326633166,169.0202500920872,True
0.7660804020100502,169.08951289306455,True
0.7708542713567839,169.15790197281433,True
0.7756281407035176,169.2254338610702,True
0.7804020100502512,169.29212467068376,True
0.7851758793969849,169.3579901107637,True
0.7899497487437186,169.42304549931802,True
0.7947236180904522,169.48730577542167,True
0.7994974874371858,169.5507855109297,True
0.8042713567839196,169.61349892175636,True
0.8090452261306532,169.67545987873868,True
0.813819095477387,169.7366819181023,True
0.8185929648241206,169.79717825154648,True
0.8233668341708542,169.8569617759648,True
0.828140703517588,169.91604508281634,True
0.8329145728643216,169.97444046716265,True
0.8376884422110552,170.03215993638383,True
0.842462311557789,170.0892152185873,True
0.8472361809045226,170.14561777072169,True
0.8520100502512562,170.20137878640844,True
0.8567839195979899,170.25650920350168,True
0.8615577889447236,170.3110197113882,True
0.8663316582914572,170.3649207580374,True
0.8711055276381909,170.41822255681151,True
0.8758793969849246,170.47093509304537,True
0.8806532663316583,170.52306813040505,True
0.8854271356783919,170.57463121703378,True
0.8902010050251256,170.62563369149368,True
0.8949748743718593,170.6760846885109,True
0.8997487437185929,170.72599314453234,True
0.9045226130653266,170.77536780310032,True
0.9092964824120603,170.8242172200528,True
0.9140703517587939,170.8725497685556,True
0.9188442211055275,170.9203736439728,True
0.9236180904522613,170.96769686858144,True
0.9283919597989949,171.01452729613655,True
0.9331658291457285,171.06087261629145,True
0.9379396984924623,171.10674035887962,True
0.9427135678391959,171.1521378980621,True
0.9474874371859296,171.19707245634626,True
0.9522613065326633,171.24155110847997,True
0.9570351758793969,171.28558078522627,True
0.9618090452261306,171.32916827702184,True
0.9665829145728643,171.3723202375247,True
0.9713567839195979,171.41504318705393,True
0.9761306532663316,171.45734351592617,True
0.9809045226130653,171.49922748769143,True
0.9856783919597989,171.54070124227303,True
0.9904522613065326,171.5817707990138,True
0.9952261306532663,171.62244205963273,True
1.0,171.66272081109432,True
